ISO3,Year,WomenBusLawIndex,PaidParentalLeave
AFG,1971,26.3,No
AFG,1972,26.3,No
AFG,1973,26.3,No
AFG,1974,26.3,No
AFG,1975,26.3,No
AFG,1976,26.3,No
AFG,1977,26.3,No
AFG,1978,26.3,No
AFG,1979,26.3,No
AFG,1980,26.3,No
AFG,1981,26.3,No
AFG,1982,26.3,No
AFG,1983,26.3,No
AFG,1984,26.3,No
AFG,1985,26.3,No
AFG,1986,26.3,No
AFG,1987,26.3,No
AFG,1988,26.3,No
AFG,1989,25.6,No
AFG,1990,25.6,No
AFG,1991,25.6,No
AFG,1992,25.6,No
AFG,1993,25.6,No
AFG,1994,25.6,No
AFG,1995,25.6,No
AFG,1996,25.6,No
AFG,1997,25.6,No
AFG,1998,25.6,No
AFG,1999,25.6,No
AFG,2000,26.3,No
AFG,2001,26.3,No
AFG,2002,26.3,No
AFG,2003,26.3,No
AFG,2004,26.3,No
AFG,2005,26.3,No
AFG,2006,26.3,No
AFG,2007,26.3,No
AFG,2008,28.8,No
AFG,2009,28.8,No
AFG,2010,28.8,No
AFG,2011,28.8,No
AFG,2012,28.8,No
AFG,2013,28.8,No
AFG,2014,28.8,No
AFG,2015,28.8,No
AFG,2016,28.8,No
AFG,2017,38.1,No
AFG,2018,38.1,No
AFG,2019,38.1,No
AFG,2020,38.1,No
AFG,2021,38.1,No
AFG,2022,38.1,No
AFG,2023,31.9,No
AFG,2024,31.9,No
AGO,1971,30.6,No
AGO,1972,30.6,No
AGO,1973,30.6,No
AGO,1974,30.6,No
AGO,1975,30.6,No
AGO,1976,30.6,No
AGO,1977,30.6,No
AGO,1978,30.6,No
AGO,1979,30.6,No
AGO,1980,30.6,No
AGO,1981,30.6,No
AGO,1982,30.6,No
AGO,1983,33.1,No
AGO,1984,33.1,No
AGO,1985,33.1,No
AGO,1986,33.1,No
AGO,1987,33.1,No
AGO,1988,33.1,No
AGO,1989,56.3,No
AGO,1990,56.3,No
AGO,1991,56.3,No
AGO,1992,56.3,No
AGO,1993,56.3,No
AGO,1994,56.3,No
AGO,1995,56.3,No
AGO,1996,56.3,No
AGO,1997,56.3,No
AGO,1998,56.3,No
AGO,1999,56.3,No
AGO,2000,56.3,No
AGO,2001,62.5,No
AGO,2002,62.5,No
AGO,2003,62.5,No
AGO,2004,62.5,No
AGO,2005,62.5,No
AGO,2006,62.5,No
AGO,2007,62.5,No
AGO,2008,62.5,No
AGO,2009,62.5,No
AGO,2010,62.5,No
AGO,2011,62.5,No
AGO,2012,62.5,No
AGO,2013,70.6,No
AGO,2014,70.6,No
AGO,2015,70.6,No
AGO,2016,70.6,No
AGO,2017,73.1,No
AGO,2018,73.1,No
AGO,2019,73.1,No
AGO,2020,73.1,No
AGO,2021,73.1,No
AGO,2022,79.4,No
AGO,2023,79.4,No
AGO,2024,79.4,No
ALB,1971,59.4,No
ALB,1972,59.4,No
ALB,1973,59.4,No
ALB,1974,59.4,No
ALB,1975,59.4,No
ALB,1976,59.4,No
ALB,1977,59.4,No
ALB,1978,59.4,No
ALB,1979,59.4,No
ALB,1980,59.4,No
ALB,1981,59.4,No
ALB,1982,59.4,No
ALB,1983,59.4,No
ALB,1984,59.4,No
ALB,1985,59.4,No
ALB,1986,59.4,No
ALB,1987,59.4,No
ALB,1988,59.4,No
ALB,1989,59.4,No
ALB,1990,59.4,No
ALB,1991,59.4,No
ALB,1992,59.4,No
ALB,1993,59.4,No
ALB,1994,59.4,No
ALB,1995,65,No
ALB,1996,65,No
ALB,1997,77.5,No
ALB,1998,77.5,No
ALB,1999,77.5,No
ALB,2000,77.5,No
ALB,2001,77.5,No
ALB,2002,77.5,No
ALB,2003,77.5,No
ALB,2004,77.5,No
ALB,2005,80,No
ALB,2006,80,No
ALB,2007,80,No
ALB,2008,82.5,No
ALB,2009,82.5,No
ALB,2010,82.5,No
ALB,2011,85.6,No
ALB,2012,85.6,No
ALB,2013,85.6,No
ALB,2014,85.6,No
ALB,2015,85.6,No
ALB,2016,85.6,No
ALB,2017,91.3,No
ALB,2018,91.3,No
ALB,2019,91.3,No
ALB,2020,91.3,No
ALB,2021,91.3,No
ALB,2022,91.3,No
ALB,2023,91.3,No
ALB,2024,91.3,No
ARE,1971,17.5,No
ARE,1972,17.5,No
ARE,1973,17.5,No
ARE,1974,17.5,No
ARE,1975,17.5,No
ARE,1976,17.5,No
ARE,1977,17.5,No
ARE,1978,17.5,No
ARE,1979,17.5,No
ARE,1980,17.5,No
ARE,1981,17.5,No
ARE,1982,17.5,No
ARE,1983,17.5,No
ARE,1984,17.5,No
ARE,1985,17.5,No
ARE,1986,17.5,No
ARE,1987,17.5,No
ARE,1988,17.5,No
ARE,1989,17.5,No
ARE,1990,17.5,No
ARE,1991,17.5,No
ARE,1992,17.5,No
ARE,1993,17.5,No
ARE,1994,17.5,No
ARE,1995,17.5,No
ARE,1996,17.5,No
ARE,1997,17.5,No
ARE,1998,17.5,No
ARE,1999,17.5,No
ARE,2000,26.9,No
ARE,2001,26.9,No
ARE,2002,26.9,No
ARE,2003,26.9,No
ARE,2004,26.9,No
ARE,2005,26.9,No
ARE,2006,26.9,No
ARE,2007,26.9,No
ARE,2008,26.9,No
ARE,2009,26.9,No
ARE,2010,26.9,No
ARE,2011,26.9,No
ARE,2012,26.9,No
ARE,2013,26.9,No
ARE,2014,26.9,No
ARE,2015,26.9,No
ARE,2016,26.9,No
ARE,2017,26.9,No
ARE,2018,26.9,No
ARE,2019,30,No
ARE,2020,59.4,No
ARE,2021,82.5,Yes
ARE,2022,82.5,Yes
ARE,2023,82.5,Yes
ARE,2024,82.5,Yes
ARG,1971,30.6,No
ARG,1972,30.6,No
ARG,1973,30.6,No
ARG,1974,30.6,No
ARG,1975,30.6,No
ARG,1976,32.5,No
ARG,1977,38.8,No
ARG,1978,38.8,No
ARG,1979,38.8,No
ARG,1980,38.8,No
ARG,1981,38.8,No
ARG,1982,38.8,No
ARG,1983,38.8,No
ARG,1984,38.8,No
ARG,1985,38.8,No
ARG,1986,38.8,No
ARG,1987,38.8,No
ARG,1988,38.8,No
ARG,1989,59.4,No
ARG,1990,59.4,No
ARG,1991,59.4,No
ARG,1992,59.4,No
ARG,1993,62.5,No
ARG,1994,62.5,No
ARG,1995,62.5,No
ARG,1996,65,No
ARG,1997,65,No
ARG,1998,65,No
ARG,1999,65,No
ARG,2000,65,No
ARG,2001,65,No
ARG,2002,65,No
ARG,2003,65,No
ARG,2004,65,No
ARG,2005,70,No
ARG,2006,70,No
ARG,2007,70,No
ARG,2008,70,No
ARG,2009,70,No
ARG,2010,73.1,No
ARG,2011,73.1,No
ARG,2012,73.1,No
ARG,2013,73.1,No
ARG,2014,73.1,No
ARG,2015,73.1,No
ARG,2016,73.1,No
ARG,2017,73.1,No
ARG,2018,73.1,No
ARG,2019,76.3,No
ARG,2020,76.3,No
ARG,2021,76.3,No
ARG,2022,79.4,No
ARG,2023,79.4,No
ARG,2024,79.4,No
ARM,1971,55.6,No
ARM,1972,55,No
ARM,1973,55,No
ARM,1974,58.1,No
ARM,1975,58.1,No
ARM,1976,58.1,No
ARM,1977,58.1,No
ARM,1978,58.1,No
ARM,1979,58.1,No
ARM,1980,58.1,No
ARM,1981,58.1,No
ARM,1982,58.1,No
ARM,1983,58.1,No
ARM,1984,58.1,No
ARM,1985,58.1,No
ARM,1986,58.1,No
ARM,1987,58.1,No
ARM,1988,58.1,No
ARM,1989,58.1,No
ARM,1990,58.1,No
ARM,1991,58.1,No
ARM,1992,58.1,No
ARM,1993,58.1,No
ARM,1994,58.1,No
ARM,1995,58.1,No
ARM,1996,58.1,No
ARM,1997,61.3,No
ARM,1998,61.3,No
ARM,1999,61.3,No
ARM,2000,61.3,No
ARM,2001,61.3,No
ARM,2002,61.3,No
ARM,2003,61.3,No
ARM,2004,64.4,No
ARM,2005,64.4,No
ARM,2006,76.9,No
ARM,2007,79.4,Yes
ARM,2008,79.4,Yes
ARM,2009,79.4,Yes
ARM,2010,79.4,Yes
ARM,2011,79.4,Yes
ARM,2012,82.5,Yes
ARM,2013,82.5,Yes
ARM,2014,82.5,Yes
ARM,2015,82.5,Yes
ARM,2016,82.5,Yes
ARM,2017,82.5,Yes
ARM,2018,82.5,Yes
ARM,2019,85,Yes
ARM,2020,85,Yes
ARM,2021,85,Yes
ARM,2022,87.5,Yes
ARM,2023,87.5,Yes
ARM,2024,90.6,Yes
ATG,1971,51.9,No
ATG,1972,51.9,No
ATG,1973,51.9,No
ATG,1974,58.1,No
ATG,1975,58.1,No
ATG,1976,58.1,No
ATG,1977,61.3,No
ATG,1978,61.3,No
ATG,1979,61.3,No
ATG,1980,61.3,No
